,latitude,longitude,brightness,scan,track,date,confidence,bright_t31,frp,daynight,type,datetime,temperature,humidity,rain,stat_lat,stat_long,time_difference,new_latitude,new_longitude,new_time_difference,new_date,final_date
3864,17.540268,98.178047,367,0.39,0.6,1363910400,0,299.45,6.32,0,0,22/3/2013 7:18,20.1,91.0,0.15483871,17.7539088,97.9627456,26280,17.555164,98.06639,26198.176,1363936598.176,2013-03-22 07:16:38.176000000
3865,15.876237,101.562813,367,0.57,0.52,1643068800,0,305.48,8.44,0,0,25/1/2022 5:54,15.6,97.0,0.0,15.906904,101.4275456,21240,15.853895,101.46317,23314.45,1643092114.45,2022-01-25 06:28:34.450000128
3866,18.344297,100.515755,367,0.47,0.64,1364342400,0,309.41,22.12,0,0,27/3/2013 5:42,28.0927112,74.8910155,0.15483871,18.37017,100.39559,20520,18.403936,100.458374,23033.914,1364365433.914,2013-03-27 06:23:53.914000128
3867,17.079241,101.198738,367,0.36,0.58,1330214400,0,309.03,21.77,0,0,26/2/2012 5:48,18.6,95.0,0.15483871,17.0895008,101.11008,20880,17.158712,101.17219,21527.902,1330235927.902,2012-02-26 05:58:47.901999872
3868,19.353369,98.212296,367,0.52,0.67,1521936000,0,299.99,14.81,0,0,25/3/2018 7:24,23.5,56.0,0.15483871,19.3701376,98.3930624,26640,19.414206,98.33986,26276.965,1521962276.965,2018-03-25 07:17:56.964999936
3869,15.586495,102.124138,367,0.34,0.56,1422835200,0,301.24,11.45,0,0,2/2/2015 5:54,28.0927112,74.8910155,0.15483871,15.6384144,102.040032,21240,15.629929,102.02446,21421.889,1422856621.889,2015-02-02 05:57:01.888999936
3870,16.538134,100.834167,367,0.56,0.68,1457913600,0,296.68,39.07,0,0,14/3/2016 7:18,25.0,72.0,0.0,16.3658768,100.8307136,26280,16.39422,100.84153,25712.46,1457939312.46,2016-03-14 07:08:32.460000000
3871,18.143246,98.871933,367,0.38,0.59,1550448000,0,303.01,9.68,0,0,18/2/2019 5:54,21.4,67.3,0.0,18.3353328,98.8182784,21240,18.290003,98.84131,22085.41,1550470085.41,2019-02-18 06:08:05.410000128
3872,15.317437,102.326828,367,0.33,0.55,1357084800,0,303.9,5.39,0,0,2/1/2013 6:54,18.6,96.0,0.15483871,15.4438064,102.3284416,24840,15.44445,102.3695,24972.316,1357109772.316,2013-01-02 06:56:12.316000000
3873,17.849869,103.81208,367,0.48,0.65,1518307200,0,296.55,11.42,0,0,11/2/2018 5:30,21.1,79.0,0.0,17.8310864,103.756768,19800,17.821526,103.732666,21102.176,1518328302.176,2018-02-11 05:51:42.176000000
3874,16.229633,103.529297,367,0.32,0.55,1360800000,0,306.87,7.32,0,0,14/2/2013 6:48,28.0927112,74.8910155,0.15483871,16.2001728,103.4735296,24480,16.244663,103.57683,24869.16,1360824869.16,2013-02-14 06:54:29.160000000
3875,17.878977,99.192986,367,0.45,0.47,1363996800,0,311.48,12.53,0,0,23/3/2013 7:00,25.0,55.0,0.15483871,17.9097824,99.3096896,25200,17.88817,99.30916,26915.596,1364023715.596,2013-03-23 07:28:35.596000000
3876,17.753622,97.880447,367,0.38,0.59,1363910400,0,309.81,13.51,0,0,22/3/2013 7:18,20.1,91.0,0.15483871,17.7539088,97.9627456,26280,17.555164,98.06639,26198.176,1363936598.176,2013-03-22 07:16:38.176000000
3877,18.902946,100.552299,367,0.36,0.57,1548288000,0,300.25,21.94,0,0,24/1/2019 7:06,28.0927112,74.8910155,0.15483871,18.8625008,100.6411584,25560,18.90225,100.57764,25544.492,1548313544.492,2019-01-24 07:05:44.492000000
